onset	duration	sample	value
2287,98	1,024	571995	203
2289,004	4	572251	4
2293,004	4,016	573251	200
2297,02	3,984	574255	201
230,364	4	57591	201
2301,004	2	575251	202
2303,004	1,024	575751	203
2304,028	4,016	576007	4
2308,044	4	577011	200
2312,044	4	578011	201
2316,044	2	579011	202
2318,044	1,008	579511	203
2319,052	4,016	579763	3
2323,068	9,008	580767	200
2332,076	4	583019	201
2336,076	2	584019	202
2338,076	1,008	584519	203
2339,084	4,016	584771	4
234,364	2	58591	202
2343,1	4	585775	200
2347,1	4,016	586775	201
2351,116	1,984	587779	202
2353,1	1,008	588275	203
2354,108	4,016	588527	3
2358,124	4	589531	200
236,364	1,008	59091	203
2362,124	4	590531	201
2366,124	2,016	591531	202
2368,14	1,008	592035	203
2369,148	4	592287	4
237,372	4,016	59343	1
2373,148	4	593287	200
2377,148	4	594287	201
2381,148	2,016	595287	202
2383,164	0,992	595791	203
2384,156	4	596039	4
2388,156	4,016	597039	200
2392,172	4	598043	201
2396,172	2	599043	202
2398,172	1,008	599543	203
2399,18	4	599795	3
24,044	2	6011	202
2403,18	4	600795	200
2407,18	4,016	601795	201
241,388	4	60347	200
2411,196	2,016	602799	202
2413,212	1,008	603303	203
2414,22	4	603555	3
2418,22	4,016	604555	200
2422,236	4	605559	201
2426,236	1,984	606559	202
2428,22	1,008	607055	203
2429,228	4,016	607307	3
2433,244	4,016	608311	200
2437,26	4	609315	201
2441,26	2,016	610315	202
2443,276	0,992	610819	203
2444,268	4,016	611067	4
2448,284	4	612071	200
245,388	4	61347	201
2452,284	4	613071	201
2456,284	2	614071	202
2458,284	1,024	614571	203
2459,308	4	614827	3
2463,308	4	615827	200
2467,308	4	616827	201
2471,308	2	617827	202
2473,308	1,008	618327	203
2474,316	4,016	618579	4
2478,332	4	619583	200
2482,332	4	620583	201
2486,332	2	621583	202
2488,332	1,008	622083	203
2489,34	4,016	622335	3
249,388	2	62347	202
2493,356	4	623339	200
2497,356	4	624339	201
2501,356	2,016	625339	202
2503,372	1,008	625843	203
2504,38	4	626095	4
2508,38	4,016	627095	200
251,388	1,024	62847	203
2512,396	3,984	628099	201
2516,38	2,016	629095	202
2518,396	1,008	629599	203
2519,404	4,016	629851	3
252,412	4	63103	1
2523,42	3,984	630855	200
2527,404	4,016	631851	201
2531,42	2	632855	202
2533,42	1,008	633355	203
2534,428	4	633607	4
2538,428	4,016	634607	200
2542,444	4	635611	201
2546,444	2	636611	202
2548,444	1,024	637111	203
2549,468	4	637367	3
2553,468	4	638367	200
2557,468	4	639367	201
256,412	4,016	64103	200
2561,468	2	640367	202
2563,468	1,008	640867	203
2564,476	4	641119	4
2568,476	4,016	642119	200
2572,492	4	643123	201
